Etapa 1,Etapa 2,,,Etapa 3,,,Etapa 4,Etapa 5
"Criar um próprio planejamento estratégico não olhando para a empresa em si mas para mim mesmo, o famoso PDI sem manipulação para atender determinados interesses. ",Autodidata,,,Aprendizado autodirigido,,,,
"Está sendo a minha pós-graduação, contudo a minha empresa não tem relação. O motivo pelo qual considero a mais útil é porque aprofunda os conhecimentos relacionados a product design e liderança, que faz todo sentido na minha trajetória profissional.",educação Formal,liderança,,Educação Formal,Desenvolvimento de liderança e soft skills,,,
"Comunicação não violenta, ensina como ter uma comunicação mais efetiva e neutra.",softskill,,,Desenvolvimento de liderança e soft skills,,,,
Treinamentos sobre outras áreas da empresa,Treinamento,,,Curso e Treinamentos,,,,
"Certificações, bootcamps… trouxe muito aprendizado!",Certificado,bootcamp,,Curso e Treinamentos,,,,
Um seminário sobre Agile patrocinado pela empresa para explorar como poderíamos melhorar a aplicação de métodos ágeis no dia a dia.,Seminnário,Atividade/pratica diaria,,Aprendizado social e networking,Curso e Treinamentos,,,
"Ciclo de Palestras do TDC, foi compartilhado diferentes informações que agregaram muito.",Palestas,,,Aprendizado social e networking,,,,
Treinamento de XP que tive em 2014. Agregou muito no dia a dia,Treinamento,,,,,,,
Residência de Software - Projeto CIn - UFPE / Motorola,educação Formal,,,,,,,
Treinamento de Liderança. Porque conectou desejo pessoal com necessidade da Cia e o conteúdo foi realmente muito bom.,Treinamento,liderança,Solução de problemas,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,Aprendizado prático e aplicado,,
"Acompanhamento da construção de um projeto com um especialista na área. Pois assim consegui ver e entender na prática o processo de desenvolvimento de um projeto de UX design, além de ter o espaço para contribuir com minhas ideias e tirar as minhas dúvidas.",Mentoria,,,Aprendizado social e networking,,,,
"A experiência de aprendizado mais útil que eu já tive foi quando precisei repensar completamente a forma como estruturava a comunicação entre serviços no ecossistema backend. Até então, eu via o Kafka apenas como um meio de transporte de mensagens — mas, ao mergulhar mais fundo em conceitos de mensageria orientada a eventos, idempotência, ordenação de partições e garantia de consistência eventual, percebi que o verdadeiro desafio estava no design da arquitetura, não apenas na implementação.
Esse processo me forçou a amadurecer tecnicamente e conceitualmente: aprendi a equilibrar isolamento de contexto, resiliência e clareza de domínio usando DDD, Clean Architecture e testes de integração com Testcontainers. Mais importante que o código em si, foi o aprendizado sobre como pensar sistemas distribuídos de forma previsível e sustentável.
Hoje, essa experiência influencia quase todas as decisões que tomo em engenharia — desde o desenho de um schema no MongoDB até a forma de versionar eventos e tratar falhas em produção.",Solução de problemas,,,Aprendizado prático e aplicado,,,,
Trabalhar em projetos reais foi o que mais me fez crescer. Cada erro e desafio virou aprendizado.,Atividade/pratica diaria,,,Aprendizado prático e aplicado,,,,
Certificação Scrum,CErtificado,,,Curso e Treinamentos,,,,
"Segurança da Informação, pois eu já sou formado em uma pós e o conteúdo da experiencia era mais técnico que teórico ",Curso,,,Curso e Treinamentos,,,,
"Curso em Harvard, porque me trouxe visões de mundo diferentes ",Curso,,,Curso e Treinamentos,,,,
"Um curso sobre acessibilidade para lideranças, me mostrou uma visão além do técnico e como a acessibilidade deve estar inserida em todos os processos.",Curso ,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
Curso para ctfl,Curso,,,Curso e Treinamentos,,,,
