Etapa 1,Codigo_1,Codigo_2,Codigo_3,Codigo_4,Codigo_5,Tema_1,Tema_2,Tema_3
Deveriam ser todos em formato de workshop hands on,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Mais hands on,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Mais dinâmicas práticas, às vezes é mais teorias, conceitos.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Investir mais tempo em soft skills e atividade técnicas mais ligada ao dia a dia,Pratica / Hands-on,Tempo dedicado,,,,Aplicabilidade prática e alinhamento às necessidades,Tempo e condicoes estruturais para aprendizagem,
Serem pensadas dada um sólido plano de desenvolvimento de carreira. De maneira individualizada.,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Ter cursos que possam realmente ajudar nas atividades do trabalho. Não adianta ter cursos ou treinamentos que nao facam sentido para sua funcao atual. O processo de aprendizado tem que ser bem praticos, deixar a teoria um pouco de lado e partir logo para ""como fazer "".",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Adotar o tipo de treinamento citado anteriormente.,,,,,,,,
A evolução dos metodos direcionados a linguagem de estudo com IA generativa,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Em vez de obrigar todo mundo a fazer um curso cansativo, acho que agregaria fazer uma avaliação pra saber quem realmente precisa daquele curso. Quando não fazem isso, acabam exigindo que pessoas percam suas horas vendo um conteúdo que não agrega, pois já é conhecido e dominado.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Os instrutures que fazem projetos para avaliação do aluno, e também apresentam um projeto próprio de como eles fariam. É muito enriquecedor comparar com o trabalho do aluno com do professor e colegas de turma. Essas diferentes visões de trabalho ajuda ter muitas opções de melhoria no trabalho próprio do aluno",Didatica / Instrutor / Material,Interacao / Mentoria,,,,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social,
"Uma experiência de aprendizado deve levar em conta as necessidades da empresa ou a possibilidade de inovação dentro do projeto atual. Sem utilidade direta, não há muito o que agregar dado que será um conhecimento que logo será esquecido. O que não quer dizer que ""pílulas"" de conhecimento não sejam interessantes, pois elas podem ajudar na criatividade - um novo conhecimento pode ser a porta para uma melhoria ou uma mudança de rota em um projeto.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Customização de acordo com experiências, aprendizados e propósito de realizar a capacitação. Isso faria que os objetivos iniciais do aluno fossem atendidos de forma plena no final.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
-,,,,,,,,
Acredito que o modelo ideal é ter menos treinamentos obrigatórios e uma ajuda de custo/reembolso para que o funcionário possa estudar sobre assuntos que ele tenha interesse e que esteja alinhado com os requisitos da empresa.,Alinhamento / Personalizacao,Incentivo / Reconhecimento,,,,Aplicabilidade prática e alinhamento às necessidades,Incentivos reconhecimento e apoio institucional,
Nenhum. Na empresa temos nosso tempo e ferramentas bem definidas.,Tempo dedicado,Incentivo / Reconhecimento,,,,Tempo e condicoes estruturais para aprendizagem,Incentivos reconhecimento e apoio institucional,
Mais hands-on competitivo,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"talvez antecipar informaçoes que nao estam disponiveis na experiencia, para conseguir ter uma melhor previsibilidade.",Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
Trazer materiais de preparo antes do treinamento para nivelação e após o treinamento para ajudar a guiar os estudos.,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
a empresa poderia liberar ao menos 2h por semana para treinamento.,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"acho que atualmente poderiamos ter um modelo de IA que construisse cursos baseado e relacionados ao projeto que estamos trabalhando, sendo assim, teria um foco",,,,,,,,
"Eu sugeriria tornar os processos de aprendizado mais práticos e personalizados. Muitas vezes, o ensino é muito teórico e padronizado, o que faz com que nem todos aprendam de forma eficiente. Seria interessante incluir mais atividades que conectem o conteúdo à realidade, permitindo que cada pessoa aprenda no seu ritmo e de acordo com seus interesses e estilo de aprendizagem.",Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Validações de aprendizado,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Considerando que a grande maioria dos treinamentos é EAD, creio que a padronização de áudio e vídeo entre os professores é importante. Ademais, as coordenações dos cursos deveriam avaliar previamente as atividades sugeridas, a fim de verificar se estão bem redigidas e se fazem sentido em relação ao conteúdo programático do curso, ao invés de apenas “confiar” nos professores.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Não sei como resolver, mas entender que cada aluno tem uma jornada e um tempo diferente ara fixar o conteúdo.",Tempo dedicado,Didatica / Instrutor / Material,,,,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao,
"Aprendizados tangíveis que não ficam apenas na teoria, mas tem algo prático ou material",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Tempo para os estudos, principalmente quando é alguma certificação obrigatória!",Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Um foco maior em conectar o conhecimento teórico com a prática do dia a dia,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Equilibrar teoria, pratica. Nao ser conteudo muito denso",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Classe invertida,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Considerar interações após o treinamento, aliando conteúdo com troca de experiências.",Didatica / Instrutor / Material,Interacao / Mentoria,,,,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social,
Maior organização de cronograma e escolha de um horário de participação mais acessível.,Tempo dedicado,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Tempo e condicoes estruturais para aprendizagem,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao
"Se eu pudesse sugerir uma melhoria nos processos de aprendizado, seria tornar o aprendizado mais conectado a problemas reais de engenharia. Muitas vezes, o foco está em absorver conceitos de forma teórica, mas o verdadeiro ganho vem quando aplicamos esses conceitos em contextos reais — lidando com limitações, decisões de trade-off e impactos em produção. Defendo um modelo de aprendizado mais baseado em experimentação, onde o desenvolvedor é incentivado a explorar, errar e refletir sobre o resultado. Por exemplo, entender por que uma implementação de consumo de eventos falhou em garantir idempotência é muito mais valioso do que apenas saber o que é idempotência em teoria. Além disso, acredito que o aprendizado deveria ser contínuo e contextual, com mentorias técnicas que ajudem a traduzir boas práticas em soluções aplicáveis ao dia a dia da equipe. Aprender com o código em produção, com revisões bem fundamentadas e com discussões de arquitetura, cria um ciclo muito mais sólido e duradouro de evolução técnica.",Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,Incentivo / Reconhecimento,Interacao / Mentoria,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Montar uma documentação para orientar o aprendizado é sempre útil, pois dá clareza sobre o caminho a seguir. Aprender “no escuro” tem seu valor, mas contar com um guia torna o processo muito mais eficiente.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Material de Apoio,Didatica / Instrutor / Material,Incentivo / Reconhecimento,,,,Qualidade pedagogica didatica e organizacao,Incentivos reconhecimento e apoio institucional,
Ter conteúdos mais curtos,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Pensando nas empresas, seria bom que elas liberassem e incentivassem o aprendizado como parte da jornada de trabalho.",Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Menos custo financeiro,,,,,,,,
